,German,English
0,ich,I
1,seine,his
2,dass,that
3,er,he
4,war,was
5,für,for
6,auf,on
7,sind,are
8,mit,with
9,sie,she
10,sein,be
11,bei,at
12,ein,a
13,haben,have
14,dies,this
15,aus,out of
16,durch,through
17,heiß,hot
18,Wort,Word
19,aber,but
20,was,What
21,einige,some
22,ist,is
23,es,it
24,Sie,She
25,oder,or
26,hatte,had
27,die,the
28,von,from
29,zu,to
30,und,and
31,ein,a
32,bei,at
33,wir,we
34,können,can
35,aus,out of
36,andere,other
37,waren,were
38,die,the
39,tun,do
40,ihre,her
41,Zeit,Time
42,wenn,if
43,werden,become
44,wie,How
45,sagte,said
46,ein,a
47,jeder,everyone
48,sagen,say
49,tut,does
50,Satz,Sentence
51,drei,three
52,wollen,want
53,Luft,Air
54,gut,good
55,auch,also
56,spielen,play
57,klein,small
58,Ende,End
59,setzen,set
60,Zuhause,At home
61,lesen,read
62,seits,on the one hand
63,Hafen,Harbor
64,groß,large
65,buchstabieren,spell
66,hinzufügen,add
67,auch,also
68,Lande,Land
69,hier,here
70,muss,must
71,groß,large
72,hoch,high
73,so,so
74,folgen,consequences
75,Akt,act
76,warum,Why
77,fragen,questions
78,Männer,Men
79,Veränderung,change
80,ging,went
81,Licht,Light
82,Art,Type
83,aus,out of
84,müssen,must
85,Haus,House
86,Bild,Picture
87,versuchen,attempt
88,uns,us
89,wieder,again
90,Tier,animal
91,Punkt,Point
92,Mutter,Mother
93,Welt,World
94,in der Nähe von,near
95,bauen,build
96,selbst,himself
97,Erde,Earth
98,Vater,Father
99,jeder,everyone
100,neu,new
101,Arbeit,Work
102,Teil,Part
103,nehmen,take
104,erhalten,receive
105,Ort,Location
106,gemacht,made
107,leben,life
108,wo,where
109,nach,after
110,zurück,back
111,wenig,few
112,nur,only
113,Runde,round
114,Mann,Man
115,Jahr,Year
116,kam,came
117,zeigen,show
118,jeder,everyone
119,gut,good
120,mir,me
121,geben,give
122,unsere,our
123,unter,under
124,Name,name
125,sehr,very
126,durch,through
127,nur,only
128,Formular,Form
129,Satz,Sentence
130,groß,large
131,denken,think
132,sagen,say
133,Hilfe,Help
134,niedrig,low
135,Linie,line
136,abweichen,differ
137,wiederum,again
138,Ursache,Caused
139,viel,much
140,bedeuten,mean
141,vor,before
142,Umzug,Relocation
143,Recht,Right
144,Junge,Boy
145,alt,old
146,zu,to
147,gleich,even
148,sie,she
149,alle,all
150,da,there
151,wenn,if
152,nach oben,up
153,Verwendung,use
154,Ihre,Her
155,Weg,Away
156,über,above
157,viele,many
